300	317	222
300	317	222
300	317	222
301	317	222
301	317	222
302	316	222
302	316	222
302	316	222
303	316	222
303	316	222
303	316	222
304	315	222
304	315	222
305	315	222
305	315	222
305	315	222
305	315	222
306	314	222
306	314	222
306	314	222
307	314	222
307	314	222
308	314	222
308	314	222
308	313	222
309	313	222
309	313	222
309	313	222
310	313	222
310	313	222
310	312	222
311	312	222
311	312	222
311	312	222
312	312	222
312	312	222
313	311	222
313	311	222
313	311	222
314	311	222
314	311	222
315	311	222
315	310	222
316	310	222
316	310	222
317	310	222
300	300	128
300	300	128
321	310	222
321	310	222
322	310	222
323	310	222
323	309	222
324	309	222
325	309	222
325	308	222
326	308	222
327	307	222
328	307	222
329	307	222
330	306	222
331	306	222
332	305	222
333	305	222
335	304	222
336	304	222
300	300	128
300	300	128
300	300	128
316	299	222
316	299	222
316	298	222
315	298	222
300	300	128
300	300	128
300	300	128
300	300	128
300	300	128
300	300	128
358	285	222
300	300	128
355	284	222
300	300	128
354	283	222
354	282	222
380	269	222
379	268	222
300	300	128
378	266	222
349	275	222
300	300	128
375	259	222
374	257	222
300	300	128
373	255	222
373	253	222
372	251	222
371	249	222
370	247	222
369	245	222
369	243	222
300	300	128
300	300	128
300	300	128
300	300	128
327	269	222
300	300	128
326	269	222
325	268	222
300	300	128
358	217	222
300	300	128
357	214	222
300	300	128
355	212	222
315	272	222
314	272	222
313	273	222
312	273	222
311	273	222
311	272	222
310	272	222
310	272	222
310	270	222
309	270	222
308	270	222
307	270	222
307	270	222
306	269	222
306	268	222
305	267	222
305	266	222
304	263	222
302	270	222
302	270	222
301	270	222
300	270	222
300	270	222
299	270	222
300	300	128
300	300	128
286	165	222
300	300	128
282	164	222
300	300	128
279	164	222
276	166	222
273	167	222
270	167	222
268	170	222
265	171	222
262	173	222
259	174	222
256	175	222
254	177	222
251	178	222
249	180	222
246	181	222
243	182	222
240	183	222
249	206	222
254	220	222
252	221	222
252	225	222
249	224	222
248	226	222
246	227	222
244	229	222
243	230	222
241	232	222
241	234	222
239	235	222
199	201	222
196	203	222
300	300	128
195	206	222
198	213	222
200	219	222
203	225	222
205	230	222
207	235	222
209	239	222
212	244	222
213	247	222
215	251	222
217	255	222
218	258	222
219	261	222
221	264	222
222	267	222
223	269	222
225	272	222
225	274	222
226	276	222
227	279	222
228	281	222
230	283	222
230	285	222
231	287	222
232	288	222
233	290	222
234	292	222
234	293	222
235	295	222
236	296	222
237	298	222
237	300	222
238	301	222
239	302	222
239	304	222
240	305	222
241	306	222
241	308	222
242	309	222
242	310	222
243	311	222
244	313	222
244	314	222
245	315	222
245	316	222
246	318	222
246	319	222
247	320	222
248	321	222
248	322	222
249	324	222
249	325	222
250	326	222
250	327	222
251	328	222
251	329	222
252	331	222
253	332	222
253	333	222
254	334	222
254	336	222
255	337	222
255	338	222
256	339	222
257	341	222
260	339	222
263	338	222
266	337	222
269	335	222
271	334	222
274	333	222
276	332	222
278	331	222
279	330	222
281	329	222
282	329	222
283	328	222
285	327	222
286	327	222
287	326	222
288	326	222
289	325	222
290	325	222
290	325	222
291	324	222
292	324	222
293	324	222
294	323	222
300	300	128
300	300	128
300	300	128
300	300	128
297	318	222
298	318	222
299	318	222
299	318	222
